IP Address,Common Name,Organization,Subject Alternative DNS Name,Subject Alternative IP address
"35.164.16.45","linktr.ee","","linktr.ee|*.linktr.ee",""
"35.164.84.208","monolith-qa-juliett.linktr.ee","","monolith-qa-juliett.linktr.ee",""
"35.164.104.140","profiles-api.production.linktr.ee","","profiles-api.production.linktr.ee",""
"35.164.108.101","profiles-api.production.linktr.ee","","profiles-api.production.linktr.ee",""
"35.164.192.170","qa.shopify-store.linktr.ee","","qa.shopify-store.linktr.ee",""
"35.165.87.43","userinfo.production.linktr.ee","","userinfo.production.linktr.ee",""
"35.165.238.124","*.linktr.ee","","*.linktr.ee|linktr.ee",""
"35.166.3.205","lttransactions.production.linktr.ee","","lttransactions.production.linktr.ee",""
"35.166.27.60","monolith-qa-echo.linktr.ee","","monolith-qa-echo.linktr.ee",""
"35.166.126.163","*.linktr.ee","","*.linktr.ee|linktr.ee",""
"35.166.193.177","*.linktr.ee","","*.linktr.ee|linktr.ee",""
"35.167.10.226","userinfo.qa.linktr.ee","","userinfo.qa.linktr.ee",""
"35.167.52.42","matching.production.linktr.ee","","matching.production.linktr.ee",""
"35.167.58.53","userinfo.production.linktr.ee","","userinfo.production.linktr.ee",""
"35.167.61.201","*.linktr.ee","","*.linktr.ee|linktr.ee",""
"35.160.149.244","link-types.production.linktr.ee","","link-types.production.linktr.ee",""
"35.160.201.33","*.linktr.ee","","*.linktr.ee|linktr.ee",""
"35.161.218.47","profiles-api.qa.linktr.ee","","profiles-api.qa.linktr.ee",""
"35.162.146.117","undefined.cms.qa.linktr.ee","","undefined.cms.qa.linktr.ee",""
"35.163.172.112","maestro.qa.linktr.ee","","maestro.qa.linktr.ee",""
"35.163.181.26","*.linktr.ee","","*.linktr.ee|linktr.ee",""
"35.163.237.149","lookerbot.production.linktr.ee","","lookerbot.production.linktr.ee",""
"54.68.30.86","lookerbot.production.linktr.ee","","lookerbot.production.linktr.ee",""
"54.68.33.227","qa.shopify-store.linktr.ee","","qa.shopify-store.linktr.ee",""
"54.69.123.127","monolith-qa-alpha.linktr.ee","","monolith-qa-alpha.linktr.ee",""
"54.69.153.134","*.linktr.ee","","*.linktr.ee|linktr.ee",""
"54.69.184.203","*.linktr.ee","","*.linktr.ee|linktr.ee",""
"54.71.229.44","maestro.production.linktr.ee","","maestro.production.linktr.ee",""
"54.212.71.75","maestro.qa.linktr.ee","","maestro.qa.linktr.ee",""
"54.213.243.232","monolith-qa-delta.linktr.ee","","monolith-qa-delta.linktr.ee",""
"54.244.27.252","monolith-qa-charlie.linktr.ee","","monolith-qa-charlie.linktr.ee",""
"35.80.185.170","monolith-qa-charlie.linktr.ee","","monolith-qa-charlie.linktr.ee",""
"35.81.185.21","link-types.production.linktr.ee","","link-types.production.linktr.ee",""
"35.81.233.172","monolith-qa-foxtrot.linktr.ee","","monolith-qa-foxtrot.linktr.ee",""
"35.82.72.79","undefined.cms.qa.linktr.ee","","undefined.cms.qa.linktr.ee",""
"35.83.7.57","linktr.ee","","linktr.ee|*.linktr.ee",""
"35.83.117.102","monolith-qa-bravo.linktr.ee","","monolith-qa-bravo.linktr.ee",""
"54.218.79.214","authiamapi.qa.linktr.ee","","authiamapi.qa.linktr.ee",""
"54.218.133.210","maestro.production.linktr.ee","","maestro.production.linktr.ee",""
"52.13.35.79","link-types.production.linktr.ee","","link-types.production.linktr.ee",""
"52.13.110.33","monolith-qa-alpha.linktr.ee","","monolith-qa-alpha.linktr.ee",""
"35.84.113.169","lttransactions.production.linktr.ee","","lttransactions.production.linktr.ee",""
"44.224.88.131","monolith-qa-golf.linktr.ee","","monolith-qa-golf.linktr.ee",""
